Entreprise,Secteur,Taille,TypeAttaque,Date,Vecteur,ImpactAriary,IndispoHeures,DonneesCompromises,CampagneSécurité
"Gardner, Robinson and Lawrence",Commerce,551,ransomware,2023-08-15 15:00:40.760508,API vulnérable,219001.74,25,Non,PatchUrgent
Arnold Ltd,Commerce,1877,account takeover,2023-08-16 03:24:21.168957,port ouvert,938947.02,17,Non,
"Hoffman, Baker and Richards",Énergie,1516,fuite de données,2023-08-16 14:22:12.475324,API vulnérable,461417.74,17,Oui,FormationPhishing
Williams and Sons,Commerce,228,ransomware,2023-08-18 00:10:01.849139,site compromis,266484.84,15,Non,AuditSécurité
"Guzman, Hoffman and Baldwin",Finance,613,ransomware,2023-08-18 03:30:48.923640,site compromis,681688.06,28,Non,MFA
"Ross, Robinson and Bright",Commerce,1380,malware,2023-08-18 10:28:56.887892,RDP exposé,1041963.85,18,Oui,MFA
"Walter, Edwards and Rios",Énergie,104,ddos,2023-08-19 06:40:34.626675,email,656792.31,14,Non,PatchUrgent
"Mcclure, Ward and Lee",Industrie,1166,ddos,2023-08-19 08:38:41.691883,clé USB,322483.29,17,Non,
"Rodriguez, Figueroa and Sanchez",Technologie,1359,intrusion,2023-08-20 12:02:48.000942,email,283488.07,23,Non,MFA
Blake and Sons,Industrie,507,exploitation de vulnérabilité,2023-08-22 04:30:56.628297,email,489659.61,15,Non,MFA
"Hoffman, Baker and Richards",Finance,1516,account takeover,2023-08-22 18:35:59.454561,téléchargement,249825.68,17,Oui,AuditSécurité
"Mcclain, Miller and Henderson",Transport,101,ransomware,2023-08-23 00:31:15.603488,téléchargement,136041.2,12,Non,
"Ross, Robinson and Bright",Énergie,1380,malware,2023-08-23 01:03:27.713935,email,113464.09,24,Non,FormationPhishing
Arnold Ltd,Technologie,1877,ddos,2023-08-25 08:11:08.658914,site compromis,369241.92,20,Non,AuditSécurité
"Ross, Robinson and Bright",Industrie,1380,exploitation de vulnérabilité,2023-08-25 19:22:34.236645,RDP exposé,675211.92,17,Non,
Arnold Ltd,Commerce,1877,account takeover,2023-08-26 02:00:15.708342,API vulnérable,662458.92,17,Non,MFA
Wilkerson-Day,Éducation,1199,fuite de données,2023-08-27 00:17:26.860286,port ouvert,104756.1,21,Non,AuditSécurité
Blair PLC,Énergie,1435,intrusion,2023-08-27 02:05:27.361093,téléchargement,519365.11,10,Oui,MFA
"Mcclure, Ward and Lee",Industrie,1166,malware,2023-08-29 08:39:57.146394,API vulnérable,375724.1,36,Non,
Perez Inc,Industrie,1084,exploitation de vulnérabilité,2023-08-30 15:18:26.426143,port ouvert,495327.42,37,Non,FormationPhishing
Baker and Sons,Technologie,457,exploitation de vulnérabilité,2023-09-01 15:01:54.182243,RDP exposé,647596.61,31,Oui,
"Snyder, Campos and Callahan",Transport,1486,intrusion,2023-09-03 07:51:27.707838,téléchargement,975250.25,12,Oui,PatchUrgent
Abbott-Munoz,Finance,259,exploitation de vulnérabilité,2023-09-03 21:38:57.202445,email,838832.45,16,Oui,FormationPhishing
Arnold Ltd,Industrie,1877,malware,2023-09-04 07:49:20.368932,téléchargement,329861.25,13,Oui,AuditSécurité
"Mcclure, Ward and Lee",Commerce,1166,malware,2023-09-05 05:14:13.169429,port ouvert,147775.39,21,Oui,FormationPhishing
Doyle Ltd,Éducation,278,fuite de données,2023-09-07 09:13:35.562979,site compromis,190290.2,20,Non,AuditSécurité
"Mcclain, Miller and Henderson",Commerce,101,fuite de données,2023-09-07 09:23:33.846348,API vulnérable,248838.05,14,Non,MFA
Baker and Sons,Énergie,457,ddos,2023-09-07 11:24:01.036484,téléchargement,150995.84,16,Non,FormationPhishing
James Group,Énergie,914,phishing,2023-09-07 13:28:15.987228,port ouvert,294295.55,10,Oui,MFA
"Mcclain, Miller and Henderson",Santé,101,phishing,2023-09-07 21:59:43.967855,téléchargement,712031.26,31,Non,
"Flowers, Martin and Kelly",Commerce,115,account takeover,2023-09-08 05:47:50.814279,clé USB,70601.97,43,Oui,FormationPhishing
"Henderson, Ramirez and Lewis",Énergie,335,malware,2023-09-08 11:23:15.531394,RDP exposé,612708.17,33,Oui,
"Mcclure, Ward and Lee",Santé,1166,intrusion,2023-09-08 11:47:38.753416,site compromis,516888.44,28,Non,MFA
"Ross, Robinson and Bright",Énergie,1380,fuite de données,2023-09-09 20:01:00.424535,site compromis,1076960.57,35,Oui,MFA
Wilkerson-Day,Commerce,1199,ddos,2023-09-09 22:39:06.157909,API vulnérable,228506.56,27,Non,PatchUrgent
"Gardner, Robinson and Lawrence",Technologie,551,ddos,2023-09-14 17:28:33.035667,téléchargement,124638.77,9,Oui,AuditSécurité
Galloway-Wyatt,Finance,1259,malware,2023-09-14 23:50:20.404760,RDP exposé,263189.79,47,Non,MFA
Baker and Sons,Éducation,457,fuite de données,2023-09-15 09:04:19.112974,téléchargement,248060.39,18,Non,MFA
Morales-Jones,Technologie,1282,exploitation de vulnérabilité,2023-09-18 03:44:55.570486,téléchargement,554107.21,26,Oui,
"Reid, Ferguson and Sanchez",Finance,241,intrusion,2023-09-18 17:44:22.407199,API vulnérable,578290.95,18,Oui,FormationPhishing
"Mcclain, Miller and Henderson",Énergie,101,phishing,2023-09-19 11:17:03.530838,clé USB,45982.86,33,Non,PatchUrgent
Blair PLC,Commerce,1435,phishing,2023-09-19 12:06:37.958598,site compromis,297922.63,12,Oui,
"Gardner, Robinson and Lawrence",Commerce,551,ransomware,2023-09-20 07:14:22.371061,port ouvert,192994.73,8,Oui,AuditSécurité
"Guzman, Hoffman and Baldwin",Technologie,613,ransomware,2023-09-20 09:30:13.410495,API vulnérable,344584.32,53,Oui,FormationPhishing
Abbott-Munoz,Technologie,259,exploitation de vulnérabilité,2023-09-20 14:29:50.776964,site compromis,140012.36,26,Non,AuditSécurité
James Group,Industrie,914,fuite de données,2023-09-20 17:20:40.117461,port ouvert,224260.81,14,Non,AuditSécurité
Morales-Jones,Énergie,1282,ransomware,2023-09-21 00:42:14.888606,clé USB,951699.15,34,Oui,PatchUrgent
Gray-Mayo,Commerce,497,exploitation de vulnérabilité,2023-09-21 17:13:51.244560,RDP exposé,724776.36,17,Non,FormationPhishing
"Ross, Robinson and Bright",Finance,1380,fuite de données,2023-09-21 19:04:43.861518,site compromis,590595.35,34,Oui,PatchUrgent
"Hoffman, Baker and Richards",Éducation,1516,ransomware,2023-09-23 16:42:28.568286,site compromis,636160.32,26,Non,FormationPhishing
Williams and Sons,Finance,228,intrusion,2023-09-24 14:28:55.992998,téléchargement,311957.07,40,Oui,FormationPhishing
Williams and Sons,Éducation,228,malware,2023-09-25 14:39:14.104088,site compromis,120996.05,18,Oui,MFA
"Mcclain, Miller and Henderson",Finance,101,ddos,2023-09-26 03:10:03.546365,site compromis,275209.45,28,Non,PatchUrgent
"Watts, Robinson and Nguyen",Industrie,526,malware,2023-09-26 17:50:04.696855,téléchargement,35519.15,26,Oui,
Davis and Sons,Industrie,1568,ddos,2023-09-26 23:45:37.978296,téléchargement,400148.2,19,Non,PatchUrgent
Abbott-Munoz,Santé,259,ddos,2023-09-28 23:57:41.830126,port ouvert,44424.71,10,Non,AuditSécurité
Baker and Sons,Industrie,457,intrusion,2023-09-29 05:40:47.493187,téléchargement,213795.11,25,Non,AuditSécurité
Blake and Sons,Finance,507,malware,2023-09-29 14:40:32.193753,email,385056.51,2,Non,FormationPhishing
"Henderson, Ramirez and Lewis",Éducation,335,fuite de données,2023-09-29 16:23:23.500624,téléchargement,190181.1,30,Oui,PatchUrgent
"Reid, Ferguson and Sanchez",Commerce,241,ransomware,2023-10-03 05:24:38.994641,port ouvert,571047.69,27,Non,MFA
Blair PLC,Santé,1435,account takeover,2023-10-03 11:38:11.542266,email,1244187.35,22,Non,MFA
"Guzman, Hoffman and Baldwin",Industrie,613,exploitation de vulnérabilité,2023-10-04 18:29:41.681575,clé USB,193251.39,11,Oui,AuditSécurité
"Hoffman, Baker and Richards",Transport,1516,malware,2023-10-05 11:08:22.835204,RDP exposé,412882.83,6,Oui,MFA
Abbott-Munoz,Finance,259,malware,2023-10-06 02:07:32.830817,RDP exposé,172553.0,27,Non,FormationPhishing
"Flowers, Martin and Kelly",Commerce,115,fuite de données,2023-10-06 07:38:28.599619,email,404909.33,21,Non,FormationPhishing
Morales-Jones,Industrie,1282,ransomware,2023-10-07 00:11:02.167309,API vulnérable,13178.8,37,Oui,AuditSécurité
"Gardner, Robinson and Lawrence",Commerce,551,ransomware,2023-10-07 08:38:59.843820,clé USB,70478.93,21,Oui,MFA
"Flowers, Martin and Kelly",Énergie,115,fuite de données,2023-10-08 09:41:45.942481,clé USB,1049702.86,51,Non,AuditSécurité
"Mcclain, Miller and Henderson",Industrie,101,fuite de données,2023-10-09 14:12:05.574570,email,479895.22,36,Oui,
"Flowers, Martin and Kelly",Finance,115,exploitation de vulnérabilité,2023-10-10 02:27:32.278209,clé USB,210396.85,15,Non,PatchUrgent
"Hoffman, Baker and Richards",Finance,1516,exploitation de vulnérabilité,2023-10-10 09:30:58.781101,site compromis,101106.03,29,Oui,FormationPhishing
Wilkerson-Day,Transport,1199,ransomware,2023-10-12 09:25:09.616645,RDP exposé,79460.92,28,Non,
"Flowers, Martin and Kelly",Technologie,115,malware,2023-10-12 10:29:51.383629,port ouvert,1237041.33,12,Oui,AuditSécurité
Blake and Sons,Finance,507,phishing,2023-10-12 21:37:03.531443,clé USB,261335.16,43,Oui,
Doyle Ltd,Énergie,278,fuite de données,2023-10-13 00:55:12.249404,RDP exposé,563814.77,24,Oui,MFA
"Ross, Robinson and Bright",Commerce,1380,malware,2023-10-13 06:34:04.727634,email,355453.78,41,Non,PatchUrgent
"Adams, Zuniga and Wong",Industrie,111,fuite de données,2023-10-14 13:17:52.266629,RDP exposé,689360.12,41,Non,PatchUrgent
"Ross, Robinson and Bright",Technologie,1380,account takeover,2023-10-14 18:11:30.567873,port ouvert,10436.13,21,Oui,AuditSécurité
"Snyder, Campos and Callahan",Éducation,1486,malware,2023-10-17 03:29:29.544744,RDP exposé,471800.08,19,Non,PatchUrgent
Doyle Ltd,Finance,278,ransomware,2023-10-20 17:24:47.937321,email,77128.47,20,Non,MFA
Galloway-Wyatt,Technologie,1259,ddos,2023-10-21 00:53:49.675625,site compromis,798285.75,22,Non,
"Guzman, Hoffman and Baldwin",Commerce,613,intrusion,2023-10-21 07:25:58.182080,port ouvert,214372.41,39,Non,MFA
Baker and Sons,Commerce,457,fuite de données,2023-10-22 17:02:00.463498,email,794456.69,32,Oui,FormationPhishing
Doyle Ltd,Éducation,278,phishing,2023-10-22 17:35:39.325686,téléchargement,600204.76,33,Oui,
Morales-Jones,Santé,1282,ddos,2023-10-23 17:30:14.596951,API vulnérable,1016205.65,6,Oui,PatchUrgent
Perez Inc,Commerce,1084,exploitation de vulnérabilité,2023-10-24 06:36:33.058042,site compromis,91159.4,37,Non,AuditSécurité
"Snyder, Campos and Callahan",Finance,1486,exploitation de vulnérabilité,2023-10-25 13:28:51.847476,clé USB,18779.53,10,Non,
Williams and Sons,Énergie,228,ransomware,2023-10-26 08:04:56.474923,email,189549.2,25,Oui,MFA
Blake and Sons,Éducation,507,account takeover,2023-10-27 05:05:14.544081,clé USB,578314.59,31,Non,PatchUrgent
"Watts, Robinson and Nguyen",Commerce,526,malware,2023-10-28 00:57:59.896639,site compromis,482754.82,2,Oui,PatchUrgent
James Group,Éducation,914,intrusion,2023-10-30 18:11:25.615713,port ouvert,333696.16,27,Oui,AuditSécurité
"Mcclure, Ward and Lee",Technologie,1166,ddos,2023-10-31 18:02:04.936196,site compromis,510785.94,19,Oui,FormationPhishing
"Hoffman, Baker and Richards",Santé,1516,account takeover,2023-10-31 21:08:40.442630,téléchargement,254697.4,32,Non,FormationPhishing
Perez Inc,Énergie,1084,account takeover,2023-10-31 22:23:50.359303,téléchargement,592900.08,29,Oui,
Arnold Ltd,Technologie,1877,intrusion,2023-11-02 21:14:50.850940,téléchargement,583040.14,38,Non,
Garcia-James,Industrie,1558,fuite de données,2023-11-03 11:43:14.331570,API vulnérable,899677.72,35,Non,PatchUrgent
Garcia-James,Santé,1558,fuite de données,2023-11-04 14:10:17.409838,RDP exposé,29680.45,13,Non,AuditSécurité
"Watts, Robinson and Nguyen",Technologie,526,exploitation de vulnérabilité,2023-11-05 02:18:26.111374,clé USB,401865.05,23,Oui,PatchUrgent
"Henderson, Ramirez and Lewis",Transport,335,ddos,2023-11-05 16:38:44.009611,RDP exposé,692161.2,21,Non,PatchUrgent
Blake and Sons,Santé,507,malware,2023-11-06 07:26:17.412327,téléchargement,131275.74,35,Non,FormationPhishing
Doyle Ltd,Santé,278,fuite de données,2023-11-06 20:05:47.075545,clé USB,548193.72,35,Oui,PatchUrgent
"Guzman, Hoffman and Baldwin",Technologie,613,exploitation de vulnérabilité,2023-11-08 14:15:27.233531,API vulnérable,460970.78,27,Non,MFA
Williams and Sons,Éducation,228,exploitation de vulnérabilité,2023-11-09 00:30:27.511106,API vulnérable,87818.91,25,Non,
"Gardner, Robinson and Lawrence",Technologie,551,fuite de données,2023-11-09 06:35:01.742743,site compromis,131311.88,30,Non,MFA
Wilkerson-Day,Éducation,1199,ddos,2023-11-10 01:42:14.901749,téléchargement,139525.93,29,Oui,
"Snyder, Campos and Callahan",Transport,1486,account takeover,2023-11-10 11:46:51.879524,clé USB,116439.14,27,Oui,
"Henderson, Ramirez and Lewis",Technologie,335,fuite de données,2023-11-11 11:58:45.222171,email,684728.6,29,Non,
"Rodriguez, Figueroa and Sanchez",Finance,1359,fuite de données,2023-11-11 13:03:05.694157,téléchargement,597213.83,16,Oui,
"Adams, Zuniga and Wong",Technologie,111,malware,2023-11-13 16:54:05.215729,clé USB,458829.51,15,Non,AuditSécurité
Gray-Mayo,Transport,497,malware,2023-11-14 05:19:41.884974,clé USB,1098843.26,31,Oui,MFA
"Gardner, Robinson and Lawrence",Industrie,551,account takeover,2023-11-15 06:18:44.654428,téléchargement,361361.01,28,Oui,
Blair PLC,Santé,1435,account takeover,2023-11-17 12:03:23.407786,API vulnérable,427943.89,49,Oui,FormationPhishing
"Henderson, Ramirez and Lewis",Industrie,335,account takeover,2023-11-17 18:51:04.700299,email,100853.31,46,Oui,FormationPhishing
"Mcclain, Miller and Henderson",Finance,101,exploitation de vulnérabilité,2023-11-18 06:51:23.996536,API vulnérable,300549.52,36,Oui,MFA
Arnold Ltd,Éducation,1877,ransomware,2023-11-20 08:04:00.024013,API vulnérable,219860.92,16,Oui,AuditSécurité
Morales-Jones,Transport,1282,fuite de données,2023-11-21 03:55:02.439541,RDP exposé,938270.17,40,Non,MFA
Baker and Sons,Technologie,457,malware,2023-11-22 23:35:26.561534,site compromis,703146.4,17,Non,FormationPhishing
Davis and Sons,Santé,1568,account takeover,2023-11-26 02:46:04.630501,téléchargement,406465.73,17,Non,FormationPhishing
"Adams, Zuniga and Wong",Finance,111,fuite de données,2023-11-26 17:28:10.063416,clé USB,318623.08,21,Oui,PatchUrgent
"Hoffman, Baker and Richards",Industrie,1516,fuite de données,2023-11-28 03:08:21.096243,email,88385.67,33,Oui,PatchUrgent
Abbott-Munoz,Finance,259,ddos,2023-11-28 18:10:33.099470,RDP exposé,75152.58,15,Non,FormationPhishing
"Walter, Edwards and Rios",Finance,104,intrusion,2023-11-30 12:27:17.490953,email,383299.12,12,Oui,PatchUrgent
Garcia-James,Énergie,1558,ransomware,2023-12-01 02:27:45.097397,API vulnérable,338345.4,33,Non,MFA
Garcia-James,Industrie,1558,malware,2023-12-01 14:23:55.084191,téléchargement,549111.66,28,Oui,PatchUrgent
Davis and Sons,Technologie,1568,malware,2023-12-04 09:56:18.759450,API vulnérable,392032.72,23,Non,MFA
Blake and Sons,Éducation,507,malware,2023-12-04 19:44:21.347623,site compromis,36919.67,23,Oui,FormationPhishing
"Hoffman, Baker and Richards",Industrie,1516,malware,2023-12-05 00:44:32.506591,RDP exposé,238991.29,14,Oui,MFA
Dudley Group,Énergie,1566,intrusion,2023-12-05 11:57:49.155438,port ouvert,349376.45,14,Non,AuditSécurité
Morales-Jones,Finance,1282,phishing,2023-12-07 07:27:37.285160,site compromis,164199.37,23,Oui,MFA
"Snyder, Campos and Callahan",Finance,1486,phishing,2023-12-08 09:39:57.799577,téléchargement,396962.5,25,Non,PatchUrgent
"Rodriguez, Figueroa and Sanchez",Technologie,1359,account takeover,2023-12-08 13:02:22.873994,clé USB,158924.41,37,Non,AuditSécurité
Davis and Sons,Finance,1568,exploitation de vulnérabilité,2023-12-09 00:18:37.544977,API vulnérable,94434.88,12,Non,
Garcia-James,Énergie,1558,ddos,2023-12-09 06:58:50.602220,site compromis,1109872.55,33,Oui,AuditSécurité
"Guzman, Hoffman and Baldwin",Énergie,613,ransomware,2023-12-10 20:47:35.141591,email,65296.58,32,Oui,FormationPhishing
"Henderson, Ramirez and Lewis",Industrie,335,phishing,2023-12-11 01:32:21.933241,clé USB,1007687.84,20,Non,AuditSécurité
"Guzman, Hoffman and Baldwin",Technologie,613,ransomware,2023-12-12 00:05:15.478373,API vulnérable,493346.9,18,Non,MFA
Perez Inc,Santé,1084,phishing,2023-12-13 09:31:29.210550,téléchargement,87572.01,16,Non,FormationPhishing
"Reid, Ferguson and Sanchez",Énergie,241,exploitation de vulnérabilité,2023-12-14 13:49:50.252873,clé USB,326841.21,11,Non,PatchUrgent
"Mcclain, Miller and Henderson",Finance,101,intrusion,2023-12-14 20:50:08.106997,RDP exposé,610241.09,30,Non,PatchUrgent
Gray-Mayo,Industrie,497,exploitation de vulnérabilité,2023-12-14 23:40:15.021698,clé USB,113686.35,34,Non,MFA
"Reid, Ferguson and Sanchez",Commerce,241,account takeover,2023-12-15 04:05:46.181328,clé USB,522687.97,40,Non,FormationPhishing
"Adams, Zuniga and Wong",Santé,111,exploitation de vulnérabilité,2023-12-16 20:43:57.426597,site compromis,45395.46,14,Oui,FormationPhishing
Wilkerson-Day,Commerce,1199,ddos,2023-12-17 07:11:29.196076,site compromis,687598.81,30,Oui,
Dudley Group,Transport,1566,malware,2023-12-19 03:15:10.127675,téléchargement,901397.16,7,Oui,MFA
"Flowers, Martin and Kelly",Technologie,115,ddos,2023-12-19 14:25:05.922634,email,365631.72,35,Oui,FormationPhishing
Williams and Sons,Éducation,228,exploitation de vulnérabilité,2023-12-20 21:56:49.580570,site compromis,324691.84,42,Oui,PatchUrgent
"Ross, Robinson and Bright",Transport,1380,exploitation de vulnérabilité,2023-12-22 17:01:04.609087,clé USB,445487.48,32,Oui,PatchUrgent
Perez Inc,Énergie,1084,fuite de données,2023-12-24 12:48:57.282614,RDP exposé,65062.53,12,Oui,PatchUrgent
Arnold Ltd,Industrie,1877,exploitation de vulnérabilité,2023-12-25 16:42:55.755895,téléchargement,144075.17,51,Oui,
"Walter, Edwards and Rios",Finance,104,ddos,2023-12-26 04:37:42.074619,port ouvert,867837.11,61,Non,AuditSécurité
James Group,Industrie,914,fuite de données,2023-12-26 07:22:08.758325,port ouvert,235026.08,37,Non,
"Snyder, Campos and Callahan",Transport,1486,exploitation de vulnérabilité,2023-12-26 12:01:23.943747,RDP exposé,130772.01,9,Non,
"Walter, Edwards and Rios",Technologie,104,exploitation de vulnérabilité,2023-12-26 15:02:12.424515,clé USB,109760.04,62,Non,MFA
James Group,Technologie,914,fuite de données,2023-12-27 17:41:03.356930,port ouvert,123286.44,11,Oui,MFA
Baker and Sons,Éducation,457,account takeover,2023-12-27 17:44:33.238670,site compromis,581272.93,17,Non,
Galloway-Wyatt,Transport,1259,intrusion,2023-12-28 03:23:46.510709,site compromis,819141.54,24,Non,FormationPhishing
Abbott-Munoz,Finance,259,intrusion,2023-12-28 04:51:17.057902,API vulnérable,287936.63,36,Non,MFA
"Mcclain, Miller and Henderson",Transport,101,account takeover,2023-12-29 02:12:02.426518,téléchargement,72511.39,42,Oui,
"Flowers, Martin and Kelly",Santé,115,exploitation de vulnérabilité,2023-12-29 20:03:13.672142,email,34737.19,30,Non,
"Henderson, Ramirez and Lewis",Transport,335,fuite de données,2024-01-02 11:49:56.822124,email,241219.88,6,Oui,PatchUrgent
"Flowers, Martin and Kelly",Industrie,115,exploitation de vulnérabilité,2024-01-02 16:36:58.405919,clé USB,311066.89,18,Non,FormationPhishing
Williams and Sons,Santé,228,ddos,2024-01-03 06:38:21.207402,API vulnérable,113483.53,45,Non,FormationPhishing
Arnold Ltd,Industrie,1877,ddos,2024-01-03 18:10:40.148321,site compromis,616961.08,29,Oui,FormationPhishing
"Watts, Robinson and Nguyen",Éducation,526,account takeover,2024-01-04 04:01:30.783818,clé USB,130893.23,34,Non,AuditSécurité
Williams and Sons,Industrie,228,malware,2024-01-08 02:00:41.217694,clé USB,88267.01,19,Oui,FormationPhishing
"Mcclain, Miller and Henderson",Commerce,101,ddos,2024-01-09 05:52:31.901902,port ouvert,23660.95,39,Oui,
"Gardner, Robinson and Lawrence",Transport,551,ransomware,2024-01-10 18:13:01.053988,email,569405.24,31,Oui,AuditSécurité
Gray-Mayo,Transport,497,exploitation de vulnérabilité,2024-01-10 19:50:33.310258,port ouvert,209099.44,23,Oui,AuditSécurité
James Group,Industrie,914,phishing,2024-01-11 18:04:55.296762,téléchargement,96196.96,13,Non,AuditSécurité
"Mcclure, Ward and Lee",Énergie,1166,ransomware,2024-01-12 00:03:41.508372,clé USB,562547.89,30,Oui,MFA
"Flowers, Martin and Kelly",Industrie,115,exploitation de vulnérabilité,2024-01-12 05:59:37.440751,téléchargement,771411.41,33,Oui,PatchUrgent
Dudley Group,Finance,1566,phishing,2024-01-12 20:56:36.933439,port ouvert,1125484.9,37,Non,
Gray-Mayo,Énergie,497,fuite de données,2024-01-13 15:02:07.551394,clé USB,187486.52,33,Non,MFA
"Ross, Robinson and Bright",Finance,1380,malware,2024-01-15 13:34:22.100493,email,90840.46,11,Non,MFA
"Adams, Zuniga and Wong",Finance,111,malware,2024-01-16 18:14:53.798767,RDP exposé,340495.93,16,Non,PatchUrgent
Arnold Ltd,Santé,1877,ransomware,2024-01-17 08:24:22.839260,email,312225.91,36,Non,PatchUrgent
"Walter, Edwards and Rios",Éducation,104,fuite de données,2024-01-18 22:17:35.589605,RDP exposé,406717.45,46,Oui,
"Reid, Ferguson and Sanchez",Transport,241,fuite de données,2024-01-19 05:57:46.654489,email,232140.01,11,Non,PatchUrgent
Davis and Sons,Énergie,1568,phishing,2024-01-19 06:16:52.743155,email,187822.7,49,Oui,AuditSécurité
Williams and Sons,Industrie,228,account takeover,2024-01-19 20:34:51.774059,API vulnérable,77305.94,14,Non,AuditSécurité
"Flowers, Martin and Kelly",Énergie,115,ddos,2024-01-20 17:38:42.845082,API vulnérable,21641.13,13,Non,PatchUrgent
Williams and Sons,Commerce,228,exploitation de vulnérabilité,2024-01-21 01:44:02.581829,clé USB,659538.24,20,Oui,FormationPhishing
"Gardner, Robinson and Lawrence",Éducation,551,ddos,2024-01-21 05:34:10.935990,API vulnérable,475026.05,12,Oui,AuditSécurité
"Watts, Robinson and Nguyen",Finance,526,ddos,2024-01-23 08:39:43.064921,port ouvert,320376.59,55,Oui,PatchUrgent
Garcia-James,Éducation,1558,fuite de données,2024-01-23 16:04:00.161608,clé USB,206500.95,41,Oui,MFA
Wilkerson-Day,Transport,1199,fuite de données,2024-01-24 04:21:06.019479,API vulnérable,468254.92,13,Oui,FormationPhishing
"Mcclure, Ward and Lee",Finance,1166,account takeover,2024-01-24 05:53:32.587421,email,1022483.86,21,Non,
"Henderson, Ramirez and Lewis",Finance,335,ddos,2024-01-24 13:33:18.658135,clé USB,946344.28,20,Non,AuditSécurité
Doyle Ltd,Finance,278,ddos,2024-01-24 19:02:49.542458,port ouvert,507083.35,33,Oui,MFA
Williams and Sons,Énergie,228,account takeover,2024-01-26 05:25:43.474353,clé USB,113358.61,34,Oui,
"Reid, Ferguson and Sanchez",Technologie,241,ddos,2024-01-27 05:17:24.791887,téléchargement,229178.89,32,Non,MFA
Perez Inc,Énergie,1084,exploitation de vulnérabilité,2024-01-27 19:22:38.788727,API vulnérable,216002.07,14,Oui,FormationPhishing
Dudley Group,Commerce,1566,malware,2024-01-27 19:39:57.636914,clé USB,251850.93,27,Non,MFA
Galloway-Wyatt,Finance,1259,exploitation de vulnérabilité,2024-01-28 10:51:01.629211,API vulnérable,997252.53,13,Non,MFA
"Hoffman, Baker and Richards",Éducation,1516,ransomware,2024-02-01 02:46:09.921836,API vulnérable,177206.99,26,Oui,MFA
Blake and Sons,Commerce,507,phishing,2024-02-01 23:10:45.566360,RDP exposé,548477.2,19,Oui,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Finance,1359,exploitation de vulnérabilité,2024-02-02 12:51:18.573133,email,111570.26,17,Oui,
"Guzman, Hoffman and Baldwin",Industrie,613,phishing,2024-02-06 23:25:28.385561,site compromis,1522171.67,5,Non,
"Snyder, Campos and Callahan",Commerce,1486,intrusion,2024-02-07 09:59:48.513210,email,181182.65,37,Non,AuditSécurité
Garcia-James,Éducation,1558,account takeover,2024-02-09 04:21:51.130692,RDP exposé,472225.26,12,Oui,AuditSécurité
"Ross, Robinson and Bright",Commerce,1380,phishing,2024-02-09 09:16:36.665509,site compromis,711285.22,53,Non,
"Mcclure, Ward and Lee",Éducation,1166,account takeover,2024-02-10 06:55:58.389303,RDP exposé,729212.24,2,Non,FormationPhishing
Abbott-Munoz,Commerce,259,account takeover,2024-02-10 13:20:34.511257,port ouvert,186438.83,28,Oui,FormationPhishing
"Mcclure, Ward and Lee",Éducation,1166,account takeover,2024-02-10 16:16:16.111345,email,477802.23,25,Oui,AuditSécurité
"Adams, Zuniga and Wong",Industrie,111,account takeover,2024-02-11 03:18:12.177876,port ouvert,86760.55,28,Oui,MFA
"Watts, Robinson and Nguyen",Santé,526,fuite de données,2024-02-11 17:07:21.893926,email,735395.96,19,Oui,AuditSécurité
"Henderson, Ramirez and Lewis",Transport,335,malware,2024-02-13 19:30:05.827704,téléchargement,425769.71,41,Non,AuditSécurité
"Watts, Robinson and Nguyen",Technologie,526,intrusion,2024-02-16 00:56:56.499096,API vulnérable,351683.3,0,Non,
"Walter, Edwards and Rios",Énergie,104,account takeover,2024-02-16 04:51:13.283197,clé USB,368801.33,19,Oui,FormationPhishing
"Hoffman, Baker and Richards",Santé,1516,intrusion,2024-02-16 12:27:58.967134,email,464902.09,41,Oui,PatchUrgent
Garcia-James,Éducation,1558,ransomware,2024-02-17 19:21:30.961269,email,316892.96,5,Non,
"Hoffman, Baker and Richards",Transport,1516,ddos,2024-02-18 04:59:35.722718,RDP exposé,524042.17,7,Oui,MFA
"Watts, Robinson and Nguyen",Éducation,526,exploitation de vulnérabilité,2024-02-19 02:55:15.061383,site compromis,1038850.41,17,Oui,
Gray-Mayo,Énergie,497,malware,2024-02-19 19:11:47.510777,site compromis,1032737.22,36,Non,PatchUrgent
Wilkerson-Day,Éducation,1199,fuite de données,2024-02-21 14:30:04.079076,API vulnérable,440504.62,26,Oui,
"Rodriguez, Figueroa and Sanchez",Éducation,1359,ddos,2024-02-21 15:37:16.695965,clé USB,260147.82,30,Non,FormationPhishing
James Group,Commerce,914,malware,2024-02-21 20:16:15.275662,email,418469.08,38,Oui,PatchUrgent
Williams and Sons,Industrie,228,account takeover,2024-02-22 00:32:09.171017,clé USB,554054.34,35,Non,PatchUrgent
"Reid, Ferguson and Sanchez",Énergie,241,ddos,2024-02-22 08:19:18.338398,téléchargement,840964.7,44,Non,
"Gardner, Robinson and Lawrence",Transport,551,account takeover,2024-02-23 06:42:09.497317,RDP exposé,354025.27,19,Oui,MFA
Davis and Sons,Santé,1568,phishing,2024-02-24 08:21:24.114673,site compromis,65734.68,13,Oui,MFA
Perez Inc,Santé,1084,fuite de données,2024-02-25 11:55:00.726672,RDP exposé,18193.89,23,Non,AuditSécurité
